Id;Article_link;Article_title;Articile_date;Article_author_name;Article_topics;Article_main_sub_domain;Article_source
508;https://www.silicon.fr/brandvoice/liebherr-aerospace-toulouse-realise-sa-migration-vers-project-server-2016-avec-campana-schott;Liebherr-Aerospace Toulouse réalise sa migration vers Project Server 2016 avec Campana & Schott;27/01/2020;Microsoft;Data;brandvoice;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
777;https://www.silicon.fr/france-plateforme-calcul-quantique-429430.html;La France lance une plateforme de calcul quantique hybride;04/01/2022;Ariane Beky;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
439;https://www.silicon.fr/gaia-x-livrables-422743.html;GAIA-X accélère sur les livrables;03/01/2022;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
823;https://www.silicon.fr/dbpaas-bases-donnees-cloud-principaux-fournisseurs-422601.html;Bases de données cloud : qui sont les principaux fournisseurs ?;21/12/2021;Clément Bohic;Data;Bases de données ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
506;https://www.silicon.fr/dbpaas-bases-donnees-cloud-marche-422481.html;Bases de données cloud : comment jauger le marché ?;20/12/2021;Clément Bohic;Data;Bases de données ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
262;https://www.silicon.fr/buglab-ia-analyse-code-422466.html;BugLab : une autre approche de l’IA pour l’analyse du code source;17/12/2021;Clément Bohic;Data;Deep Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
689;https://www.silicon.fr/dossiers/plateformes-dsml-les-data-science-a-lechelle-industrielle;Plateformes DSML : les Data Science à l’échelle industrielle;13/12/2021;Alain Clapaud;Data;Big Data ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
367;https://www.silicon.fr/hyperconvergence-logicielle-rapport-qualite-prix-421090.html;Hyperconvergence logicielle : la question du rapport qualité-prix;07/12/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
685;https://www.silicon.fr/ia-joker-equipes-big-data-421298.html;IA : le joker des équipes perdues dans le Big data;01/12/2021;Ariane Beky;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
232;https://www.silicon.fr/hyperconvergence-logicielle-principaux-fournisseurs-421097.html;Hyperconvergence logicielle : qui sont les principaux fournisseurs ?;01/12/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
848;https://www.silicon.fr/quest-software-rachete-5-milliards-clearlake-421180.html;Cybersécurité : Quest Software racheté 5,4 milliards $ par Clearlake;30/11/2021;Ariane Beky;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
364;https://www.silicon.fr/red-hat-dsml-openshift-data-science-421013.html;Red Hat ouvre un « guichet DSML » sur OpenShift;25/11/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
421;https://www.silicon.fr/big-data-principaux-fournisseurs-stockage-418293.html;Big data : qui sont les principaux fournisseurs de stockage ?;23/11/2021;Clément Bohic;Data;Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
921;https://www.silicon.fr/openai-ouvre-gpt-3-420895.html;OpenAI ouvre les vannes de GPT-3;23/11/2021;Clément Bohic;Data;Machine Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
673;https://www.silicon.fr/intelligence-artificielle-5-cas-utilisation-2022-420845.html;Intelligence artificielle : 5 cas d’utilisation pour 2022;22/11/2021;Ariane Beky;Data;Business Intelligence ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
272;https://www.silicon.fr/journalisation-recommandations-cnil-420824.html;Journalisation : les recommandations de la Cnil;22/11/2021;Clément Bohic;Data;Data & Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
850;https://www.silicon.fr/supercalculateurs-mlperf-entrainement-parallele-420734.html;Supercalculateurs : MLPerf s’attaque à l’entraînement parallèle;19/11/2021;Clément Bohic;Data;Deep Learning ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
475;https://www.silicon.fr/gestion-donnees-angle-big-data-420720.html;Gestion de données : gare à l’angle mort du Big Data;18/11/2021;Ariane Beky;Data;Big Data ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
372;https://www.silicon.fr/dossiers/data-lake-la-tentation-du-cloud;Data Lake : la tentation du Cloud;18/11/2021;Alain Clapaud;Data;Big Data ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
936;https://www.silicon.fr/disques-durs-nvme-prototype-questions-420475.html;Vers des disques durs NVMe : un prototype et des questions;16/11/2021;Clément Bohic;Data;Stockage ;Silicon : https://www.silicon.fr/actualites/data-storage/page/5
